"","Round","Region","Seed","Team","Opponent","Opp_Seed","G","W_overall","L_overall","W-L%","SRS","SOS","Tm.","Opp.","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","Year","Opp_G","Opp_Ws","Opp_Ls","Opp_WLRat","Opp_SRS","Opp_SOS","Opp_Tm","Opp_Opp","Opp_MP","Opp_FG","Opp_FGA","Opp_FGperc","Opp_3P","Opp_3PA","Opp_3Pperc","Opp_FT","Opp_FTA","Opp_FTperc","Opp_ORB","Opp_TRB","Opp_AST","Opp_STL","Opp_BLK","Opp_TOV","Opp_PF"
"53",1,"West",1,"Gonzaga","Norfolk State",16,26,26,0,1,26.43,3.43,2395,1797,1040,888,1612,0.551,190,520,0.365,429,590,0.727,249,986,476,216,74,315,433,2020,23,16,7,0.696,-4.84,-9.41,1730,1591,925,591,1357,0.436,180,489,0.368,368,521,0.706,239,850,282,146,76,301,453
"54",1,"West",16,"Norfolk State","Gonzaga",1,23,16,7,0.696,-4.84,-9.41,1730,1591,925,591,1357,0.436,180,489,0.368,368,521,0.706,239,850,282,146,76,301,453,2020,26,26,0,1,26.43,3.43,2395,1797,1040,888,1612,0.551,190,520,0.365,429,590,0.727,249,986,476,216,74,315,433
"55",1,"West",1,"Gonzaga","Appalachian State",16,26,26,0,1,26.43,3.43,2395,1797,1040,888,1612,0.551,190,520,0.365,429,590,0.727,249,986,476,216,74,315,433,2020,28,17,11,0.607,-5.33,-5.24,1986,1806,1145,674,1626,0.415,227,701,0.324,411,558,0.737,307,1007,333,225,97,329,386
"56",1,"West",16,"Appalachian State","Gonzaga",1,28,17,11,0.607,-5.33,-5.24,1986,1806,1145,674,1626,0.415,227,701,0.324,411,558,0.737,307,1007,333,225,97,329,386,2020,26,26,0,1,26.43,3.43,2395,1797,1040,888,1612,0.551,190,520,0.365,429,590,0.727,249,986,476,216,74,315,433
"57",1,"West",2,"Iowa","Grand Canyon",15,29,21,8,0.724,23.21,11.38,2429,2086,1165,863,1839,0.469,283,733,0.386,420,589,0.713,328,1164,555,162,131,276,433,2020,23,17,6,0.739,3.83,-5.78,1738,1405,920,646,1314,0.492,156,470,0.332,290,423,0.686,240,921,371,112,68,301,392
"58",1,"West",15,"Grand Canyon","Iowa",2,23,17,6,0.739,3.83,-5.78,1738,1405,920,646,1314,0.492,156,470,0.332,290,423,0.686,240,921,371,112,68,301,392,2020,29,21,8,0.724,23.21,11.38,2429,2086,1165,863,1839,0.469,283,733,0.386,420,589,0.713,328,1164,555,162,131,276,433
"59",1,"West",3,"Kansas","Eastern Washington",14,28,20,8,0.714,16.6,10.26,2047,1841,1125,737,1676,0.44,209,608,0.344,364,511,0.712,316,1064,383,192,114,346,427,2020,23,16,7,0.696,2.46,-5.45,1795,1597,920,638,1367,0.467,194,548,0.354,325,413,0.787,175,815,347,113,66,264,390
"60",1,"West",14,"Eastern Washington","Kansas",3,23,16,7,0.696,2.46,-5.45,1795,1597,920,638,1367,0.467,194,548,0.354,325,413,0.787,175,815,347,113,66,264,390,2020,28,20,8,0.714,16.6,10.26,2047,1841,1125,737,1676,0.44,209,608,0.344,364,511,0.712,316,1064,383,192,114,346,427
"61",1,"West",4,"Virginia","Ohio",13,24,18,6,0.75,16.66,8.49,1647,1451,965,608,1266,0.48,204,535,0.381,227,278,0.817,157,762,335,118,104,226,310,2020,23,16,7,0.696,5.89,-1.16,1860,1685,920,686,1403,0.489,195,540,0.361,293,418,0.701,225,801,412,156,49,277,369
"62",1,"West",13,"Ohio","Virginia",4,23,16,7,0.696,5.89,-1.16,1860,1685,920,686,1403,0.489,195,540,0.361,293,418,0.701,225,801,412,156,49,277,369,2020,24,18,6,0.75,16.66,8.49,1647,1451,965,608,1266,0.48,204,535,0.381,227,278,0.817,157,762,335,118,104,226,310
"63",1,"West",5,"Creighton","UC-Santa Barbara",12,28,20,8,0.714,17.59,8.91,2155,1912,1130,797,1675,0.476,272,742,0.367,289,450,0.642,237,1011,445,198,99,311,433,2020,26,22,4,0.846,6.02,-4.31,1989,1633,1050,717,1477,0.485,176,501,0.351,379,505,0.75,241,915,423,197,72,285,413
"64",1,"West",12,"UC-Santa Barbara","Creighton",5,26,22,4,0.846,6.02,-4.31,1989,1633,1050,717,1477,0.485,176,501,0.351,379,505,0.75,241,915,423,197,72,285,413,2020,28,20,8,0.714,17.59,8.91,2155,1912,1130,797,1675,0.476,272,742,0.367,289,450,0.642,237,1011,445,198,99,311,433
"65",1,"West",6,"Southern California","Wichita State",11,29,22,7,0.759,17.27,7.61,2168,1888,1180,788,1687,0.467,183,526,0.348,409,632,0.647,354,1145,396,139,153,361,450,2020,21,16,5,0.762,9.43,6.8,1520,1416,850,514,1261,0.408,175,512,0.342,317,460,0.689,251,799,279,128,75,238,329
"66",1,"West",11,"Wichita State","Southern California",6,21,16,5,0.762,9.43,6.8,1520,1416,850,514,1261,0.408,175,512,0.342,317,460,0.689,251,799,279,128,75,238,329,2020,29,22,7,0.759,17.27,7.61,2168,1888,1180,788,1687,0.467,183,526,0.348,409,632,0.647,354,1145,396,139,153,361,450
"67",1,"West",6,"Southern California","Drake",11,29,22,7,0.759,17.27,7.61,2168,1888,1180,788,1687,0.467,183,526,0.348,409,632,0.647,354,1145,396,139,153,361,450,2020,29,25,4,0.862,9.55,-1.63,2245,1875,1170,868,1757,0.494,204,552,0.37,305,428,0.713,300,1043,399,207,86,299,455
"68",1,"West",11,"Drake","Southern California",6,29,25,4,0.862,9.55,-1.63,2245,1875,1170,868,1757,0.494,204,552,0.37,305,428,0.713,300,1043,399,207,86,299,455,2020,29,22,7,0.759,17.27,7.61,2168,1888,1180,788,1687,0.467,183,526,0.348,409,632,0.647,354,1145,396,139,153,361,450
"69",1,"West",7,"Oregon","Virginia Commonwealth",10,26,20,6,0.769,13.62,6.66,1934,1753,1040,715,1515,0.472,218,575,0.379,286,406,0.704,238,859,349,194,94,297,407,2020,26,19,7,0.731,12.28,5.74,1864,1694,1045,659,1460,0.451,168,510,0.329,378,497,0.761,238,890,347,240,140,380,485
"70",1,"West",10,"Virginia Commonwealth","Oregon",7,26,19,7,0.731,12.28,5.74,1864,1694,1045,659,1460,0.451,168,510,0.329,378,497,0.761,238,890,347,240,140,380,485,2020,26,20,6,0.769,13.62,6.66,1934,1753,1040,715,1515,0.472,218,575,0.379,286,406,0.704,238,859,349,194,94,297,407
"71",1,"West",8,"Oklahoma","Missouri",9,25,15,10,0.6,13.73,8.21,1869,1731,1015,670,1517,0.442,200,591,0.338,329,442,0.744,247,907,335,184,86,277,361,2020,25,16,9,0.64,12.73,11.01,1841,1798,1010,646,1439,0.449,173,540,0.32,376,539,0.698,248,892,330,168,88,336,494
"72",1,"West",9,"Missouri","Oklahoma",8,25,16,9,0.64,12.73,11.01,1841,1798,1010,646,1439,0.449,173,540,0.32,376,539,0.698,248,892,330,168,88,336,494,2020,25,15,10,0.6,13.73,8.21,1869,1731,1015,670,1517,0.442,200,591,0.338,329,442,0.744,247,907,335,184,86,277,361
