"","Year","Round","Region Number","Region Name","Seed","Score","Team","Opponent","Opp_Score","Opp_Seed","Win"
"47",2001,1,3,"East",8,68,"Georgia","Missouri",70,9,0
"48",2001,1,3,"East",9,70,"Missouri","Georgia",68,8,1
"49",2001,1,4,"West",1,89,"Stanford","UNC Greensboro",60,16,1
"50",2001,1,4,"West",16,60,"UNC Greensboro","Stanford",89,1,0
"51",2001,1,4,"West",2,57,"Iowa St","Hampton",58,15,0
"52",2001,1,4,"West",15,58,"Hampton","Iowa St",57,2,1
"53",2001,1,4,"West",3,83,"Maryland","George Mason",80,14,1
"54",2001,1,4,"West",14,80,"George Mason","Maryland",83,3,0
"55",2001,1,4,"West",4,73,"Indiana","Kent St",77,13,0
"56",2001,1,4,"West",13,77,"Kent St","Indiana",73,4,1
"57",2001,1,4,"West",5,84,"Cincinnati","BYU",59,12,1
"58",2001,1,4,"West",12,59,"BYU","Cincinnati",84,5,0
"59",2001,1,4,"West",6,49,"Wisconsin","Georgia St",50,11,0
"60",2001,1,4,"West",11,50,"Georgia St","Wisconsin",49,6,1
"61",2001,1,4,"West",7,61,"Arkansas","Georgetown",63,10,0
"62",2001,1,4,"West",10,63,"Georgetown","Arkansas",61,7,1
"63",2001,1,4,"West",8,62,"Georgia Tech","St Josephs",66,9,0
"64",2001,1,4,"West",9,66,"St Josephs","Georgia Tech",62,8,1
"65",2001,2,1,"Midwest",1,79,"Illinois","Charlotte",61,9,1
"66",2001,2,1,"Midwest",9,61,"Charlotte","Illinois",79,1,0
"67",2001,2,1,"Midwest",2,73,"Arizona","Butler",52,10,1
"68",2001,2,1,"Midwest",10,52,"Butler","Arizona",73,2,0
"69",2001,2,1,"Midwest",3,59,"Ole Miss","Notre Dame",56,6,1
"70",2001,2,1,"Midwest",6,56,"Notre Dame","Ole Miss",59,3,0
"71",2001,2,1,"Midwest",4,87,"Kansas","Syracuse",58,5,1
"72",2001,2,1,"Midwest",5,58,"Syracuse","Kansas",87,4,0
"73",2001,2,2,"South",1,81,"Michigan St","Fresno St",65,9,1
"74",2001,2,2,"South",9,65,"Fresno St","Michigan St",81,1,0
"75",2001,2,2,"South",2,74,"North Carolina","Penn St",82,7,0
"76",2001,2,2,"South",7,82,"Penn St","North Carolina",74,2,1
"77",2001,2,2,"South",3,54,"Florida","Temple",75,11,0
"78",2001,2,2,"South",11,75,"Temple","Florida",54,3,1
"79",2001,2,2,"South",13,68,"Indiana St","Gonzaga",85,12,0
"80",2001,2,2,"South",12,85,"Gonzaga","Indiana St",68,13,1
"81",2001,2,3,"East",1,94,"Duke","Missouri",81,9,1
"82",2001,2,3,"East",9,81,"Missouri","Duke",94,1,0
"83",2001,2,3,"East",2,92,"Kentucky","Iowa",79,7,1
"84",2001,2,3,"East",7,79,"Iowa","Kentucky",92,2,0
"85",2001,2,3,"East",3,71,"Boston College","USC",74,6,0
"86",2001,2,3,"East",6,74,"USC","Boston College",71,3,1
"87",2001,2,3,"East",4,75,"UCLA","Utah St",50,12,1
"88",2001,2,3,"East",12,50,"Utah St","UCLA",75,4,0
"89",2001,2,4,"West",1,90,"Stanford","St Josephs",83,9,1
"90",2001,2,4,"West",9,83,"St Josephs","Stanford",90,1,0
"91",2001,2,4,"West",15,57,"Hampton","Georgetown",76,10,0
"92",2001,2,4,"West",10,76,"Georgetown","Hampton",57,15,1
"93",2001,2,4,"West",3,79,"Maryland","Georgia St",60,11,1
"94",2001,2,4,"West",11,60,"Georgia St","Maryland",79,3,0
"95",2001,2,4,"West",13,43,"Kent St","Cincinnati",66,5,0
