School,G,W_overall,L_overall,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
Duke,36,30,6,.833,21.43,9.54,2778,2350,1440,960,2033,.472,270,676,.399,588,796,.739,337,1119,515,232,135,383,645,2013
Florida Gulf Coast,37,26,11,.703,2.76,-2.07,2696,2469,1495,976,2112,.462,247,722,.342,497,736,.675,412,1226,523,331,139,545,649,2013
Florida,37,29,8,.784,23.86,6.83,2642,2012,1480,960,2010,.478,300,794,.378,422,623,.677,381,1179,540,265,120,401,518,2013
Georgetown,32,25,7,.781,15.84,7.59,2070,1806,1300,737,1627,.453,189,536,.353,407,599,.679,297,959,474,240,123,407,556,2013
Gonzaga,35,32,3,.914,20.47,4.18,2696,2095,1400,961,1934,.497,226,609,.371,548,777,.705,409,1195,530,277,96,393,551,2013
Harvard,30,20,10,.667,3.95,0.16,2049,1924,1215,677,1425,.475,191,480,.398,504,697,.723,219,796,392,218,126,399,457,2013
Illinois,36,23,13,.639,13.23,10.08,2465,2332,1445,858,2084,.412,280,873,.321,469,646,.726,427,1098,365,245,142,411,648,2013
Indiana,36,29,7,.806,24.90,8.38,2831,2236,1451,951,1971,.482,257,637,.403,672,904,.743,439,1270,514,256,130,469,598,2013
Iona,34,20,14,.588,4.04,-0.02,2733,2595,1395,956,2106,.454,283,771,.367,538,689,.781,395,1094,523,222,101,421,582,2013
Iowa State,35,23,12,.657,14.50,6.13,2779,2486,1420,962,2111,.456,346,924,.374,509,696,.731,422,1238,560,223,97,460,593,2013
James Madison,36,21,15,.583,-1.73,-2.28,2346,2326,1450,818,1941,.421,211,628,.336,499,714,.699,365,1064,423,272,166,401,620,2013
Kansas State,35,27,8,.771,13.53,6.53,2414,2115,1400,872,2002,.436,238,658,.362,432,631,.685,470,1145,557,247,129,403,631,2013
Kansas,37,31,6,.838,20.79,7.54,2782,2292,1505,985,2049,.481,216,594,.364,596,809,.737,399,1354,575,260,247,517,620,2013
La Salle,34,24,10,.706,10.14,4.46,2450,2257,1370,871,1931,.451,262,695,.377,446,605,.737,332,958,481,263,119,390,520,2013
Liberty,36,15,21,.417,-9.13,-5.80,2489,2519,1455,838,1954,.429,251,669,.375,562,770,.730,367,1164,443,197,105,478,685,2013
Long Island University,34,20,14,.588,-3.21,-5.80,2677,2589,1370,915,1909,.479,246,647,.380,601,870,.691,404,1083,515,232,117,486,597,2013
Louisville,40,35,5,.875,24.81,9.13,2978,2351,1625,1048,2300,.456,230,691,.333,652,920,.709,531,1385,584,430,168,495,727,2013
Marquette,35,26,9,.743,14.04,8.58,2382,2191,1420,842,1844,.457,147,497,.296,551,755,.730,418,1116,483,231,123,471,590,2013
Memphis,36,31,5,.861,12.26,2.70,2681,2337,1450,976,2071,.471,220,592,.372,509,771,.660,438,1243,605,321,231,523,651,2013
Miami (FL),36,29,7,.806,16.99,7.88,2509,2181,1445,895,1968,.455,254,701,.362,465,680,.684,357,1179,408,223,159,377,525,2013
Michigan State,36,27,9,.750,18.64,10.55,2448,2129,1440,882,1921,.459,177,523,.338,507,710,.714,421,1241,474,289,140,489,579,2013
Michigan,39,31,8,.795,21.28,10.05,2932,2467,1575,1093,2260,.484,296,769,.385,450,642,.701,416,1246,565,239,108,368,496,2013
Middle Tennessee,34,28,6,.824,11.16,-1.52,2405,1974,1370,848,1835,.462,181,480,.377,528,759,.696,407,1147,481,238,128,464,700,2013
Minnesota,34,21,13,.618,16.83,10.31,2337,2115,1365,815,1838,.443,184,546,.337,523,764,.685,501,1186,503,253,187,467,605,2013
Mississippi,36,27,9,.750,14.42,4.14,2779,2409,1455,977,2230,.438,238,735,.324,587,866,.678,466,1251,450,297,185,395,606,2013
