School,G,W_overall,L_overall,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
UCLA,37,28,9,.757,18.40,7.62,3003,2604,1490,1073,2196,.489,229,603,.380,628,839,.749,368,1308,636,341,111,379,652,2014
Villanova,34,29,5,.853,18.97,7.50,2651,2261,1385,870,1907,.456,304,855,.356,607,848,.716,379,1263,523,236,141,406,672,2014
Virginia Commonwealth,35,26,9,.743,14.55,4.78,2624,2282,1420,922,2196,.420,260,744,.349,520,772,.674,479,1317,459,391,150,423,686,2014
Virginia,37,30,7,.811,18.38,7.86,2449,2060,1486,855,1884,.454,206,559,.369,533,792,.673,379,1312,484,193,150,362,594,2014
Weber State,31,19,12,.613,-0.92,-4.23,2254,2061,1260,732,1541,.475,222,566,.392,568,767,.741,265,1065,407,131,123,382,558,2014
Western Michigan,33,23,10,.697,1.73,-1.45,2373,2235,1340,779,1684,.463,195,593,.329,620,856,.724,323,1143,376,194,111,464,602,2014
Wichita State,36,35,1,.972,16.65,1.74,2706,2141,1445,896,1942,.461,250,713,.351,664,916,.725,419,1381,491,247,184,374,611,2014
Wisconsin,38,30,8,.789,19.69,10.19,2793,2432,1525,927,2019,.459,297,790,.376,642,861,.746,337,1266,468,183,127,307,574,2014
Wofford,33,20,13,.606,-4.32,-5.95,2205,2054,1325,808,1804,.448,196,544,.360,393,592,.664,352,1090,423,205,54,351,578,2014
Xavier,34,21,13,.618,11.84,8.14,2442,2316,1370,869,1850,.470,174,500,.348,530,770,.688,379,1213,497,196,97,421,674,2014
Alabama-Birmingham,36,20,16,.556,1.94,1.62,2476,2452,1480,873,2042,.428,202,607,.333,528,715,.738,434,1322,516,237,184,482,630,2015
Albany (NY),33,24,9,.727,-0.34,-5.18,2156,1996,1325,729,1666,.438,205,572,.358,493,650,.758,334,1111,349,187,53,381,544,2015
Arizona,38,34,4,.895,24.33,7.41,2911,2268,1525,1009,2068,.488,193,536,.360,700,974,.719,411,1399,528,275,131,419,681,2015
Arkansas,36,27,9,.750,14.07,6.79,2787,2525,1450,978,2196,.445,238,681,.349,593,819,.724,470,1290,579,277,168,430,684,2015
Baylor,34,24,10,.706,17.85,9.33,2349,2048,1370,813,1874,.434,236,626,.377,487,723,.674,497,1333,497,263,132,434,565,2015
Belmont,33,22,11,.667,0.35,-2.77,2450,2330,1320,858,1803,.476,329,866,.380,405,585,.692,307,1093,504,209,66,451,549,2015
Boise State,34,25,9,.735,10.01,1.38,2390,2045,1385,831,1823,.456,297,758,.392,431,591,.729,298,1119,409,206,79,348,582,2015
Brigham Young,35,25,10,.714,13.53,5.02,2931,2561,1420,976,2090,.467,300,763,.393,679,886,.766,421,1349,594,257,103,417,721,2015
Buffalo,33,23,10,.697,7.93,1.60,2462,2253,1320,837,1922,.435,199,583,.341,589,819,.719,420,1260,433,248,132,378,613,2015
Butler,34,23,11,.676,16.64,8.62,2346,2073,1380,814,1882,.433,192,540,.356,526,767,.686,408,1239,387,217,103,376,592,2015
UC-Irvine,34,21,13,.618,3.63,0.45,2295,2113,1370,854,1851,.461,217,558,.389,370,541,.684,329,1198,480,194,168,396,578,2015
Cincinnati,34,23,11,.676,10.72,4.40,2113,1898,1380,761,1705,.446,167,507,.329,424,633,.670,383,1178,394,222,185,432,507,2015
Coastal Carolina,34,24,10,.706,-1.02,-6.18,2438,2121,1360,836,1899,.440,228,633,.360,538,780,.690,447,1338,385,240,111,399,559,2015
Davidson,32,24,8,.750,11.97,3.19,2529,2221,1285,898,1924,.467,343,877,.391,390,553,.705,335,1144,547,171,93,303,601,2015
Dayton,36,27,9,.750,10.98,4.06,2439,2190,1445,810,1755,.462,239,670,.357,580,846,.686,255,1121,490,250,91,415,573,2015
Duke,39,35,4,.897,24.97,9.87,3091,2502,1570,1099,2191,.502,283,732,.387,610,873,.699,445,1436,588,278,149,421,607,2015
Eastern Washington,35,26,9,.743,0.79,-3.84,2820,2588,1410,977,2045,.478,344,860,.400,522,719,.726,351,1183,454,219,167,376,624,2015
Georgetown,33,22,11,.667,15.48,9.81,2340,2153,1340,799,1753,.456,201,569,.353,541,769,.704,367,1152,427,251,156,415,668,2015
Georgia State,35,25,10,.714,5.47,-2.03,2499,2184,1415,902,1878,.480,174,522,.333,521,719,.725,322,1116,479,321,143,366,642,2015
Georgia,33,21,12,.636,12.42,8.60,2250,2124,1351,747,1730,.432,184,538,.342,572,826,.692,360,1260,411,183,151,420,608,2015
Gonzaga,38,35,3,.921,21.12,5.12,2989,2343,1525,1084,2083,.520,264,660,.400,557,806,.691,391,1441,620,226,126,397,637,2015
Hampton,35,17,18,.486,-8.25,-7.08,2346,2387,1405,796,1959,.406,194,638,.304,560,859,.652,416,1292,372,235,141,494,752,2015
Harvard,30,22,8,.733,4.47,-0.25,1926,1727,1220,671,1548,.433,146,412,.354,438,609,.719,316,1025,384,213,135,349,472,2015
Indiana,34,20,14,.588,12.94,7.20,2633,2438,1365,923,1989,.464,319,786,.406,468,651,.719,407,1224,473,170,108,392,606,2015
Iowa State,34,25,9,.735,17.94,9.15,2645,2346,1360,940,1973,.476,263,726,.362,502,721,.696,323,1221,546,218,133,375,527,2015
Iowa,34,22,12,.647,15.83,8.39,2372,2119,1370,821,1905,.431,192,576,.333,538,723,.744,422,1274,482,218,158,377,536,2015
Kansas,36,27,9,.750,18.47,12.13,2561,2333,1445,869,1976,.440,213,562,.379,610,842,.724,426,1364,475,237,175,463,639,2015
Kentucky,39,38,1,.974,28.72,8.67,2900,2118,1575,1006,2150,.468,203,582,.349,685,943,.726,491,1482,553,253,268,408,665,2015
Lafayette,33,20,13,.606,-3.37,-3.12,2426,2409,1325,872,1799,.485,261,640,.408,421,549,.767,282,1017,514,181,83,366,515,2015
Louisiana State,33,22,11,.667,11.39,5.63,2423,2233,1350,892,1962,.455,189,558,.339,450,658,.684,401,1294,516,240,204,476,516,2015
Louisville,36,27,9,.750,18.12,8.98,2483,2154,1450,878,2048,.429,198,644,.307,529,792,.668,454,1351,419,283,192,408,623,2015
Manhattan,33,19,14,.576,-1.34,-3.34,2300,2234,1340,756,1748,.432,215,640,.336,573,829,.691,345,1065,460,264,92,481,758,2015
Maryland,35,28,7,.800,13.32,7.63,2417,2218,1410,781,1777,.440,258,687,.376,597,790,.756,314,1223,376,169,151,431,584,2015
Michigan State,39,27,12,.692,17.46,10.00,2773,2482,1605,1014,2181,.465,294,763,.385,451,714,.632,436,1458,646,203,176,441,738,2015
Mississippi,34,21,13,.618,11.39,7.01,2475,2326,1369,848,2003,.423,220,662,.332,559,723,.773,430,1284,450,225,128,378,668,2015
New Mexico State,34,23,11,.676,3.71,-3.67,2316,2033,1370,808,1748,.462,165,450,.367,535,771,.694,428,1199,406,219,124,470,541,2015
North Carolina State,36,22,14,.611,14.11,9.72,2525,2367,1450,895,2054,.436,236,661,.357,499,727,.686,435,1369,415,138,184,375,637,2015
North Carolina,38,26,12,.684,20.63,11.76,2953,2616,1530,1099,2309,.476,184,514,.358,571,814,.701,526,1541,661,251,160,481,738,2015
North Dakota State,33,23,10,.697,-1.72,-3.63,2141,2057,1335,743,1713,.434,230,600,.383,425,614,.692,274,1098,315,156,123,325,504,2015
North Florida,35,23,12,.657,-0.82,-5.94,2651,2385,1400,897,1910,.470,317,810,.391,540,747,.723,339,1219,506,214,146,436,568,2015
Northeastern,35,23,12,.657,2.03,-1.34,2397,2279,1415,838,1725,.486,203,526,.386,518,713,.727,297,1160,500,183,129,483,496,2015
Northern Iowa,35,31,4,.886,12.54,2.00,2281,1912,1420,776,1618,.480,257,645,.398,472,644,.733,255,1071,413,207,84,363,508,2015
Notre Dame,38,32,6,.842,19.23,7.02,2963,2499,1545,1050,2061,.509,302,775,.390,561,756,.742,313,1231,576,256,138,357,540,2015
Ohio State,35,24,11,.686,19.68,7.37,2635,2204,1410,964,1995,.483,236,637,.370,471,693,.680,387,1241,534,266,178,396,563,2015
Oklahoma State,32,18,14,.563,12.95,9.63,2160,2011,1290,733,1667,.440,226,647,.349,468,645,.726,287,1039,366,253,156,392,614,2015
Oklahoma,35,24,11,.686,18.65,9.94,2501,2196,1410,885,2035,.435,236,688,.343,495,668,.741,389,1332,430,237,174,419,570,2015
Oregon,36,26,10,.722,11.43,7.65,2713,2550,1460,992,2143,.463,263,726,.362,466,613,.760,372,1298,508,207,157,421,655,2015
Providence,34,22,12,.647,13.71,9.50,2370,2227,1370,828,1889,.438,171,546,.313,543,768,.707,411,1228,474,242,155,407,628,2015
Purdue,34,21,13,.618,12.93,7.64,2375,2195,1375,827,1840,.449,195,597,.327,524,767,.683,409,1249,505,185,177,444,642,2015
Robert Morris,35,20,15,.571,-3.02,-3.50,2414,2397,1410,854,1926,.443,221,590,.375,485,684,.709,367,1162,428,300,100,467,650,2015
San Diego State,36,27,9,.750,11.81,4.24,2226,1939,1455,800,1916,.418,189,591,.320,437,694,.630,439,1270,377,247,179,410,506,2015
Southern Methodist,34,27,7,.794,12.94,3.57,2350,2032,1365,832,1750,.475,145,400,.363,541,770,.703,388,1244,524,237,146,426,551,2015
St. John's (NY),33,21,12,.636,11.85,9.04,2343,2240,1325,835,1890,.442,198,569,.348,475,687,.691,336,1164,408,246,210,352,587,2015
Stephen F. Austin,34,29,5,.853,8.61,-4.20,2672,2188,1365,911,1870,.487,262,692,.379,588,799,.736,413,1176,596,259,120,476,734,2015
Texas Southern,35,22,13,.629,-5.98,-6.09,2390,2386,1430,818,1840,.445,185,574,.322,569,861,.661,394,1193,375,214,109,454,609,2015
Texas,34,20,14,.588,16.16,9.07,2290,2049,1375,796,1837,.433,212,626,.339,486,671,.724,422,1351,442,128,265,435,555,2015
UCLA,36,22,14,.611,12.07,8.27,2590,2453,1450,930,2099,.443,223,606,.368,507,750,.676,440,1367,498,238,139,430,645,2015
Utah,35,26,9,.743,20.98,7.42,2496,1999,1405,849,1760,.482,264,654,.404,534,760,.703,322,1204,489,208,175,407,581,2015
Valparaiso,34,28,6,.824,6.29,-2.00,2366,2021,1365,837,1836,.456,236,620,.381,456,676,.675,397,1276,443,203,157,422,563,2015
Villanova,36,33,3,.917,23.13,7.55,2754,2193,1450,916,1951,.470,326,837,.389,596,815,.731,371,1235,570,278,146,382,596,2015
Virginia Commonwealth,36,26,10,.722,12.79,6.10,2609,2368,1475,896,2139,.419,293,854,.343,524,797,.657,444,1277,456,342,153,383,690,2015
Virginia,34,30,4,.882,21.73,7.81,2224,1751,1370,804,1758,.457,170,483,.352,446,614,.726,358,1232,430,186,143,316,484,2015
West Virginia,35,25,10,.714,15.12,9.29,2542,2338,1410,872,2138,.408,227,719,.316,571,863,.662,575,1272,494,376,96,453,821,2015
Wichita State,35,30,5,.857,15.56,3.68,2460,2008,1410,860,1933,.445,239,670,.357,501,715,.701,415,1245,476,250,134,327,587,2015
Wisconsin,40,36,4,.900,24.61,10.29,2900,2327,1610,1014,2115,.479,288,790,.365,584,765,.763,383,1338,504,174,127,296,501,2015
Wofford,35,28,7,.800,2.56,-2.98,2331,2089,1400,818,1802,.454,222,596,.372,473,688,.688,324,1139,461,228,87,379,589,2015
Wyoming,35,25,10,.714,3.81,-0.04,2151,1974,1430,747,1619,.461,209,642,.326,448,638,.702,216,1047,501,191,102,392,481,2015
Xavier,37,23,14,.622,15.42,9.48,2712,2492,1505,956,2011,.475,234,666,.351,566,775,.730,364,1282,596,223,106,447,661,2015
Arizona,34,25,9,.735,18.79,7.23,2735,2342,1390,946,1970,.480,221,580,.381,622,863,.721,394,1368,485,164,161,442,621,2016
Little Rock,35,30,5,.857,7.12,-1.76,2487,2129,1415,886,1958,.453,266,693,.384,449,616,.729,324,1195,451,230,106,355,640,2016
Austin Peay,36,18,18,.500,-6.04,-2.98,2740,2765,1460,945,2049,.461,223,645,.346,627,936,.670,422,1326,479,250,101,502,633,2016
Baylor,34,22,12,.647,16.13,9.76,2621,2366,1375,933,2003,.466,210,572,.367,545,752,.725,467,1267,603,269,135,432,660,2016
Buffalo,35,20,15,.571,1.34,0.90,2709,2634,1410,915,2096,.437,263,776,.339,616,867,.710,425,1363,441,240,124,475,748,2016
Butler,33,22,11,.667,16.46,7.55,2638,2344,1325,918,1969,.466,236,601,.393,566,774,.731,366,1188,468,227,107,335,646,2016
Cal State Bakersfield,33,24,9,.727,2.58,-5.15,2405,2104,1330,875,1939,.451,179,524,.342,476,726,.656,414,1263,516,263,165,405,707,2016
University of California,34,23,11,.676,15.39,7.87,2545,2289,1375,890,1931,.461,236,651,.363,529,806,.656,386,1349,430,139,159,419,706,2016
Chattanooga,35,29,6,.829,3.24,-3.46,2652,2364,1410,897,1963,.457,262,729,.359,596,811,.735,381,1241,504,272,165,437,596,2016
Cincinnati,33,22,11,.667,15.19,5.25,2418,2090,1355,851,1980,.430,252,725,.348,464,658,.705,441,1291,508,257,192,363,513,2016
Colorado,34,22,12,.647,12.04,7.64,2576,2407,1370,865,2029,.426,252,647,.389,594,808,.735,446,1434,461,177,167,454,638,2016
Connecticut,36,25,11,.694,15.89,6.28,2631,2285,1460,944,2078,.454,255,699,.365,488,615,.793,338,1300,489,210,182,385,657,2016
Dayton,33,25,8,.758,11.34,4.76,2393,2176,1335,836,1836,.455,221,643,.344,500,749,.668,327,1265,480,196,145,427,626,2016
Duke,36,25,11,.694,19.23,10.59,2920,2609,1450,983,2136,.460,328,851,.385,626,866,.723,426,1296,478,226,154,354,603,2016
Fairleigh Dickinson,33,18,15,.545,-10.90,-8.31,2558,2600,1335,929,2029,.458,238,657,.362,462,663,.697,348,1108,472,250,87,423,720,2016
Florida Gulf Coast,35,21,14,.600,-0.79,-3.82,2703,2473,1435,1008,2106,.479,186,527,.353,501,778,.644,417,1422,483,230,141,438,674,2016
Fresno State,35,25,10,.714,5.27,2.24,2630,2475,1420,926,2126,.436,219,638,.343,559,805,.694,409,1293,466,295,138,378,764,2016
Gonzaga,36,28,8,.778,16.92,4.23,2840,2360,1445,1011,2081,.486,281,738,.381,537,708,.758,382,1426,501,184,111,418,623,2016
Green Bay,36,23,13,.639,1.16,-0.67,3013,2880,1455,1048,2350,.446,255,730,.349,662,1007,.657,458,1385,501,358,166,441,724,2016
Hampton,32,21,11,.656,-8.74,-8.45,2363,2370,1305,810,1967,.412,206,678,.304,537,815,.659,447,1322,381,169,117,440,649,2016
Hawaii,34,28,6,.824,9.03,-1.04,2620,2267,1365,893,1946,.459,237,737,.322,597,873,.684,362,1270,525,257,124,443,695,2016
Holy Cross,35,15,20,.429,-11.20,-6.11,2267,2445,1425,775,1879,.412,251,769,.326,466,678,.687,279,1052,480,219,86,386,585,2016
Indiana,35,27,8,.771,19.59,6.90,2891,2447,1405,1021,2034,.502,345,831,.415,504,688,.733,414,1288,560,239,137,474,647,2016
Iona,33,22,11,.667,3.59,-1.78,2628,2451,1325,919,2011,.457,327,884,.370,463,651,.711,348,1218,551,248,135,422,642,2016
Iowa State,35,23,12,.657,16.93,10.16,2862,2625,1415,1087,2159,.503,293,758,.387,395,563,.702,304,1244,577,218,142,398,542,2016
Iowa,33,22,11,.667,17.01,8.71,2561,2287,1330,906,2027,.447,269,719,.374,480,669,.717,392,1257,523,223,156,339,538,2016
Kansas,38,33,5,.868,23.87,11.22,3089,2570,1540,1092,2207,.495,304,728,.418,601,843,.713,402,1443,604,253,158,478,719,2016
Kentucky,36,27,9,.750,20.23,8.84,2861,2451,1455,1028,2149,.478,244,666,.366,561,813,.690,462,1395,512,206,207,389,735,2016
Maryland,36,27,9,.750,16.71,8.31,2725,2400,1445,943,1941,.486,267,739,.361,572,745,.768,319,1288,488,210,194,458,605,2016
Miami (FL),35,27,8,.771,18.52,10.69,2633,2359,1405,907,1895,.479,241,643,.375,578,772,.749,330,1207,438,215,127,383,581,2016
Michigan State,35,29,6,.829,22.59,6.94,2793,2245,1410,1009,2078,.486,321,739,.434,454,623,.729,427,1454,719,156,177,406,671,2016
Michigan,36,23,13,.639,13.75,7.92,2656,2426,1445,947,2048,.462,342,901,.380,420,569,.738,290,1152,537,203,81,348,558,2016
Middle Tennessee,35,25,10,.714,2.66,-0.70,2539,2410,1405,909,2025,.449,279,716,.390,442,718,.616,369,1283,455,215,123,419,700,2016
North Carolina-Asheville,34,22,12,.647,1.10,-3.25,2552,2313,1370,898,1973,.455,195,603,.323,561,808,.694,396,1278,422,312,112,444,587,2016
North Carolina-Wilmington,33,25,8,.758,6.25,0.35,2620,2379,1335,928,2039,.455,230,677,.340,534,760,.703,397,1237,438,246,143,374,793,2016
North Carolina,40,33,7,.825,23.44,10.69,3311,2801,1600,1235,2560,.482,224,685,.327,617,826,.747,568,1624,708,269,177,431,718,2016
Northern Iowa,36,23,13,.639,8.78,4.44,2475,2303,1455,849,1864,.455,298,796,.374,479,633,.757,195,1091,429,204,94,357,560,2016
Notre Dame,36,24,12,.667,14.10,9.57,2704,2541,1445,972,2042,.476,262,700,.374,498,671,.742,381,1265,480,197,143,359,544,2016
Oklahoma,37,29,8,.784,19.76,11.14,2948,2629,1495,1018,2225,.458,382,906,.422,530,734,.722,407,1418,537,247,188,484,630,2016
Oregon State,32,19,13,.594,10.39,9.26,2301,2244,1280,811,1843,.440,218,587,.371,461,687,.671,337,1102,432,236,106,361,642,2016
Oregon,38,31,7,.816,18.05,8.64,2990,2614,1525,1041,2230,.467,260,758,.343,648,906,.715,442,1382,517,275,221,431,675,2016
Pittsburgh,33,21,12,.636,15.47,8.75,2476,2220,1330,878,1919,.458,204,589,.346,516,686,.752,417,1257,547,162,121,384,581,2016
Providence,35,24,11,.686,11.94,8.46,2577,2455,1415,881,2093,.421,249,776,.321,566,781,.725,402,1263,550,229,123,397,591,2016
Purdue,35,26,9,.743,20.17,7.46,2726,2281,1415,960,2042,.470,268,731,.367,538,723,.744,407,1443,615,147,165,419,607,2016
Saint Joseph's,36,28,8,.778,12.10,4.93,2780,2522,1445,976,2153,.453,251,767,.327,577,806,.716,364,1378,534,184,119,355,583,2016
Seton Hall,34,25,9,.735,14.66,8.28,2522,2305,1365,892,1999,.446,206,594,.347,532,808,.658,438,1355,455,251,155,469,636,2016
South Dakota State,34,26,8,.765,5.44,-1.22,2591,2316,1360,877,1950,.450,255,715,.357,582,783,.743,381,1279,381,169,84,399,670,2016
Southern California,34,21,13,.618,13.52,7.64,2737,2537,1380,982,2138,.459,266,688,.387,507,750,.676,401,1337,504,215,181,415,590,2016
Southern,35,22,13,.629,-7.68,-9.37,2534,2406,1400,909,2046,.444,211,610,.346,505,754,.670,365,1258,381,258,123,391,680,2016
Stephen F. Austin,34,28,6,.824,9.23,-5.47,2728,2153,1360,972,2032,.478,269,741,.363,515,701,.735,405,1188,635,310,122,411,700,2016
Stony Brook,33,26,7,.788,3.75,-5.28,2515,2115,1325,933,1992,.468,220,598,.368,429,637,.673,426,1312,541,204,150,379,523,2016
Syracuse,37,23,14,.622,14.62,9.75,2589,2409,1495,884,2080,.425,315,876,.360,506,736,.688,445,1319,493,300,162,440,598,2016
Temple,33,21,12,.636,7.69,6.57,2267,2230,1345,822,2021,.407,255,757,.337,368,538,.684,371,1225,445,173,103,305,535,2016
Texas A&M,37,28,9,.757,18.45,8.45,2828,2458,1500,991,2208,.449,281,824,.341,565,841,.672,477,1461,612,260,133,434,668,2016
Texas Tech,32,19,13,.594,12.41,10.25,2305,2236,1295,785,1754,.448,185,534,.346,550,741,.742,326,1086,418,190,134,385,589,2016
Texas,33,20,13,.606,14.80,11.71,2355,2253,1330,814,1884,.432,232,681,.341,495,743,.666,363,1139,377,167,144,341,688,2016
Tulsa,32,20,12,.625,9.79,5.76,2356,2227,1290,821,1849,.444,219,671,.326,495,731,.677,323,1123,435,216,88,346,563,2016
Utah,36,27,9,.750,15.50,8.79,2778,2502,1460,977,2000,.489,273,746,.366,551,764,.721,347,1335,557,199,149,451,549,2016
Vanderbilt,33,19,14,.576,17.20,8.68,2506,2225,1330,857,1879,.456,273,714,.382,519,747,.695,313,1273,487,139,182,386,632,2016
Villanova,40,35,5,.875,24.08,9.71,3118,2543,1605,1086,2247,.483,347,959,.362,599,766,.782,351,1385,637,282,136,440,681,2016
Virginia Commonwealth,36,25,11,.694,13.83,4.35,2781,2440,1450,1010,2238,.451,262,745,.352,499,721,.692,447,1347,515,309,135,405,706,2016
Virginia,37,29,8,.784,22.04,11.12,2626,2222,1485,964,1964,.491,224,557,.402,474,630,.752,323,1189,551,199,119,345,596,2016
Weber State,35,26,9,.743,0.18,-5.13,2662,2344,1420,908,1885,.482,291,785,.371,555,821,.676,300,1296,477,175,119,462,611,2016
West Virginia,35,26,9,.743,21.61,9.78,2749,2335,1410,943,2102,.449,209,643,.325,654,972,.673,558,1380,510,343,93,498,819,2016
Wichita State,35,26,9,.743,17.39,4.24,2535,2066,1410,867,2023,.429,250,771,.324,551,768,.717,408,1305,489,255,125,346,705,2016
Wisconsin,35,22,13,.629,13.40,9.40,2373,2233,1410,816,1917,.426,229,656,.349,512,728,.703,398,1228,400,205,114,386,588,2016
Xavier,34,28,6,.824,18.58,8.43,2737,2392,1360,928,2054,.452,255,702,.363,626,857,.730,436,1387,548,246,101,429,678,2016
Yale,30,23,7,.767,9.08,-1.03,2248,1914,1205,795,1693,.470,190,523,.363,468,699,.670,407,1208,452,170,137,398,530,2016
Arizona,37,32,5,.865,18.25,7.63,2833,2440,1480,977,2048,.477,244,625,.390,635,830,.765,380,1358,501,201,119,413,625,2017
Arkansas,36,26,10,.722,14.04,8.60,2855,2659,1440,997,2165,.461,233,638,.365,628,825,.761,401,1298,497,278,170,428,739,2017
Baylor,35,27,8,.771,19.75,11.87,2550,2228,1400,921,1956,.471,230,641,.359,478,661,.723,451,1329,544,180,166,469,617,2017
Bucknell,35,26,9,.743,5.89,-2.48,2669,2376,1400,942,1961,.480,286,754,.379,497,730,.681,302,1203,510,252,134,466,655,2017
Butler,34,25,9,.735,17.70,10.23,2595,2341,1370,906,1898,.477,261,714,.366,522,704,.741,287,1091,453,206,96,346,640,2017
UC-Davis,36,23,13,.639,-5.21,-4.68,2525,2506,1455,873,2008,.435,221,635,.348,558,828,.674,364,1280,461,202,118,513,688,2017
Cincinnati,36,30,6,.833,18.43,5.49,2674,2208,1450,969,2116,.458,264,764,.346,472,688,.686,437,1328,557,261,173,361,566,2017
Creighton,35,25,10,.714,17.27,8.95,2864,2549,1400,1078,2137,.504,304,766,.397,404,592,.682,289,1223,598,213,102,435,582,2017
Dayton,32,24,8,.750,12.98,4.27,2428,2126,1285,820,1763,.465,258,671,.385,530,768,.690,277,1097,500,249,128,376,601,2017
Duke,37,28,9,.757,21.56,10.91,2991,2597,1480,1019,2144,.475,311,822,.378,642,842,.762,390,1341,484,226,172,421,675,2017
East Tennessee State,35,27,8,.771,7.31,-2.11,2782,2438,1415,960,1967,.488,265,693,.382,597,850,.702,357,1269,516,293,162,519,698,2017
Florida Gulf Coast,34,26,8,.765,2.26,-3.42,2701,2356,1370,1007,2017,.499,221,636,.347,466,664,.702,379,1269,527,207,116,421,635,2017
Florida State,35,26,9,.743,18.87,8.87,2873,2523,1400,1036,2146,.483,233,671,.347,568,824,.689,409,1324,511,259,180,415,684,2017
Florida,36,27,9,.750,22.40,11.01,2804,2394,1455,953,2118,.450,278,776,.358,620,851,.729,416,1331,450,272,167,431,661,2017
Gonzaga,39,37,2,.949,25.26,4.13,3222,2398,1560,1149,2280,.504,286,749,.382,638,890,.717,378,1587,595,265,183,448,660,2017
Iona,35,22,13,.629,1.08,-2.47,2813,2689,1415,979,2155,.454,342,862,.397,513,668,.768,337,1250,541,239,108,421,669,2017
Iowa State,35,24,11,.686,20.51,11.94,2829,2529,1425,1031,2186,.472,344,860,.400,423,604,.700,318,1219,553,272,124,355,557,2017
Jacksonville State,35,20,15,.571,-2.85,-3.24,2434,2378,1410,857,1869,.459,258,685,.377,462,647,.714,355,1244,493,157,134,477,628,2017
Kansas State,35,21,14,.600,14.80,10.48,2523,2372,1405,869,1883,.461,247,683,.362,538,775,.694,330,1132,521,271,130,453,630,2017
Kansas,36,31,5,.861,23.53,12.23,2995,2588,1455,1071,2193,.488,318,787,.404,535,789,.678,428,1393,584,250,162,456,639,2017
Kent State,36,22,14,.611,0.88,-1.63,2772,2628,1465,986,2302,.428,257,803,.320,543,755,.719,539,1454,449,230,134,465,685,2017
Kentucky,38,32,6,.842,23.88,10.49,3225,2716,1525,1134,2396,.473,267,757,.353,690,980,.704,470,1512,585,229,200,443,716,2017
Louisville,34,25,9,.735,22.47,11.15,2628,2243,1370,952,2085,.457,238,670,.355,486,708,.686,457,1343,461,227,186,374,652,2017
Marquette,32,19,13,.594,15.26,8.60,2631,2418,1285,919,1888,.487,336,783,.429,457,585,.781,280,1058,525,231,115,396,620,2017
Maryland,33,24,9,.727,12.79,8.29,2438,2246,1325,827,1840,.449,272,757,.359,512,732,.699,351,1173,472,180,154,426,613,2017
Miami (FL),33,21,12,.636,14.48,9.57,2278,2116,1325,813,1800,.452,209,587,.356,443,617,.718,363,1176,389,213,125,417,513,2017
Michigan State,35,20,15,.571,13.67,10.50,2515,2404,1405,905,1927,.470,273,732,.373,432,646,.669,328,1275,591,151,162,490,699,2017
Michigan,38,26,12,.684,18.80,10.17,2851,2523,1535,1002,2076,.483,361,937,.385,486,624,.779,280,1111,527,220,108,348,571,2017
Middle Tennessee,36,31,5,.861,9.80,-0.48,2697,2299,1445,1014,2077,.488,228,622,.367,441,631,.699,355,1273,552,242,100,374,655,2017
Minnesota,34,24,10,.706,14.56,8.82,2556,2361,1390,887,2037,.435,209,610,.343,573,806,.711,378,1341,507,194,227,393,577,2017
Mount St. Mary's,36,20,16,.556,-4.29,-3.51,2446,2474,1445,877,1977,.444,261,730,.358,431,640,.673,276,1082,403,222,142,472,640,2017
Nevada,35,28,7,.800,10.49,2.03,2792,2496,1405,933,2082,.448,320,837,.382,606,859,.705,386,1351,559,189,152,386,581,2017
New Mexico State,34,28,6,.824,4.66,-3.82,2678,2310,1365,913,1957,.467,252,747,.337,600,843,.712,436,1339,505,166,128,465,627,2017
New Orleans,32,20,12,.625,-4.10,-5.34,2331,2215,1300,830,1755,.473,139,438,.317,532,749,.710,386,1140,500,252,97,534,562,2017
North Carolina Central,34,25,9,.735,-3.18,-12.12,2542,2159,1360,910,2005,.454,255,761,.335,467,684,.683,397,1313,480,209,112,406,587,2017
North Carolina-Wilmington,35,29,6,.829,8.06,-0.55,2967,2624,1405,1071,2231,.480,336,917,.366,489,708,.691,422,1261,564,234,115,363,699,2017
North Carolina,40,33,7,.825,24.84,11.76,3377,2824,1605,1226,2633,.466,283,798,.355,642,916,.701,630,1748,722,283,139,473,711,2017
North Dakota,32,22,10,.688,-1.83,-5.45,2578,2357,1300,926,1919,.483,228,585,.390,498,698,.713,297,1146,487,251,93,419,672,2017
Northern Kentucky,35,24,11,.686,-0.17,-2.84,2659,2507,1400,928,2037,.456,300,859,.349,503,740,.680,391,1319,486,200,98,468,622,2017
Northwestern,36,24,12,.667,14.02,8.43,2558,2357,1440,913,2092,.436,255,745,.342,477,638,.748,386,1304,541,189,175,383,691,2017
Notre Dame,36,26,10,.722,17.81,9.78,2783,2494,1445,980,2139,.458,334,869,.384,489,611,.800,334,1212,566,255,134,341,533,2017
Oklahoma State,33,20,13,.606,19.19,12.22,2828,2589,1320,957,2050,.467,294,732,.402,620,786,.789,454,1215,486,252,99,432,730,2017
Oregon,39,33,6,.846,20.80,8.38,3076,2565,1565,1091,2270,.481,334,880,.380,560,787,.712,412,1431,614,253,248,454,614,2017
Princeton,30,23,7,.767,6.57,-1.84,2149,1843,1205,772,1716,.450,298,789,.378,307,416,.738,247,1003,426,200,93,298,482,2017
